P_GPa H_eV_per_fu
0 -56.471318
10 -52.218365
20 -48.159396
30 -44.257035
40 -40.485999
50 -36.827861
60 -33.268804
70 -29.797942
80 -26.406563
90 -23.087421
100 -19.834563
