P_GPa H_eV_per_fu
0 -58.431621
10 -53.570768
20 -48.937808
30 -44.490889
40 -40.200479
50 -36.045298
60 -32.008964
70 -28.078401
80 -24.242935
90 -20.494022
100 -16.824042
