P_GPa E_eV_per_fu
0 -58.431621
10 -58.305505
20 -58.000249
30 -57.576511
40 -57.069070
50 -56.500257
60 -55.885015
70 -55.233855
80 -54.554085
90 -53.852038
100 -53.131388
