P_GPa dH_meV_per_atom
0 -3.8254
10 -5.7037
20 -7.6029
30 -9.4930
40 -11.4367
50 -13.3971
60 -15.3750
70 -17.3766
80 -19.4074
90 -21.4514
100 -23.5314
