P_GPa E_eV_per_fu
0 -58.340442
10 -58.221706
20 -57.926639
30 -57.516848
40 -57.026168
50 -56.476200
60 -55.879578
70 -55.249462
80 -54.591730
90 -53.911734
100 -53.213811
