P_GPa dH_meV_per_atom
0 159.4474
10 98.2059
20 40.3704
30 -14.5403
40 -66.9847
50 -117.2711
60 -165.6589
70 -212.3653
80 -257.5814
90 -301.4266
100 -344.0544
