P_GPa E_eV_per_fu
0 -58.458399
10 -58.331637
20 -58.025375
30 -57.600574
40 -57.092714
50 -56.524355
60 -55.908975
70 -55.262976
80 -54.579510
90 -53.877059
100 -53.155500
