P_GPa H_eV_per_fu
0 -58.458399
10 -53.610694
20 -48.991028
30 -44.557340
40 -40.280536
50 -36.139078
60 -32.116589
70 -28.200037
80 -24.378787
90 -20.644182
100 -16.988762
