P_GPa E_eV_per_fu
0 -57.315489
10 -57.201447
20 -56.929269
30 -56.552079
40 -56.101026
50 -55.595241
60 -55.049117
70 -54.470405
80 -53.866204
90 -53.241676
100 -52.600339
