P_GPa H_eV_per_fu
0 -58.340442
10 -53.602987
20 -49.080568
30 -44.737156
40 -40.545005
50 -36.483877
60 -32.536448
70 -28.692923
80 -24.941648
90 -21.274275
100 -17.683717
