P_GPa dH_meV_per_atom
0 280.0433
10 193.2004
20 111.2017
30 33.4077
40 -40.7886
50 -111.7947
60 -179.9771
70 -245.6487
80 -309.0897
90 -370.4856
100 -430.0744
