P_GPa H_eV_per_fu
0 -57.315489
10 -52.883327
20 -48.655215
30 -44.592671
40 -40.669372
50 -36.866196
60 -33.168576
70 -29.564958
80 -26.046005
90 -22.604008
100 -19.232423
