P_GPa dH_meV_per_atom
0 161.1230
10 93.9046
20 32.1156
30 -25.3770
40 -79.4059
50 -130.5240
60 -179.1771
70 -225.7364
80 -270.2164
90 -313.2433
100 -354.7786
