P_GPa H_eV_per_fu
0 -41.502329
10 -37.129927
20 -32.967499
30 -28.975082
40 -25.125645
50 -21.400869
60 -17.783487
70 -14.258943
80 -10.819403
90 -7.456724
100 -4.164069
