P_GPa E_eV_per_fu
0 -43.329433
10 -43.194568
20 -42.868817
30 -42.420359
40 -41.886799
50 -41.293109
60 -40.654081
70 -39.978404
80 -39.275509
90 -38.551005
100 -37.809897
