P_GPa dH_meV_per_atom
0 138.5041
10 76.7383
20 18.5664
30 -36.5601
40 -89.0986
50 -139.3961
60 -187.7494
70 -234.4030
80 -279.5284
90 -323.2814
100 -365.7880
