P_GPa E_eV_per_fu
0 -42.225659
10 -42.111725
20 -41.836976
30 -41.455732
40 -40.997023
50 -40.489123
60 -39.936714
70 -39.356322
80 -38.739318
90 -38.111739
100 -37.459911
