P_GPa dH_meV_per_atom
0 5.2354
10 -13.4967
20 -30.0756
30 -45.5147
40 -60.0633
50 -73.5854
60 -86.4779
70 -99.1644
80 -111.3880
90 -123.2044
100 -134.6610
