P_GPa dH_meV_per_atom
0 247.6219
10 160.9603
20 79.1927
30 1.6236
40 -72.2756
50 -142.9123
60 -210.6993
70 -275.9904
80 -339.0060
90 -399.9840
100 -459.1060
