P_GPa E_eV_per_fu
0 -42.359904
10 -42.238724
20 -41.946529
30 -41.546922
40 -41.072447
50 -40.540328
60 -39.974773
70 -39.372452
80 -38.745328
90 -38.098778
100 -37.436270
