P_GPa H_eV_per_fu
0 -43.292785
10 -38.478413
20 -33.894875
30 -29.501313
40 -25.266907
50 -21.169100
60 -17.190956
70 -13.319037
80 -9.542490
90 -5.852382
100 -2.241294
