P_GPa H_eV_per_fu
0 -42.359904
10 -37.846768
20 -33.554381
30 -29.438631
40 -25.470154
50 -21.629775
60 -17.899857
70 -14.265707
80 -10.719473
90 -7.252921
100 -3.859183
