P_GPa H_eV_per_fu
0 -42.225659
10 -37.768849
20 -33.519895
30 -29.438667
40 -25.498349
50 -21.681303
60 -17.970989
70 -14.353580
80 -10.820227
90 -7.366012
100 -3.982942
