P_GPa E_eV_per_fu
0 -40.231742
10 -40.096393
20 -39.817245
30 -39.448563
40 -39.017044
50 -38.538963
60 -38.028688
70 -37.488362
80 -36.925610
90 -36.344862
100 -35.749509
