P_GPa H_eV_per_fu
0 -43.353520
10 -38.426181
20 -33.744704
30 -29.261028
40 -24.942508
50 -20.767635
60 -16.716749
70 -12.773425
80 -8.928712
90 -5.173309
100 -1.499492
