P_GPa H_eV_per_fu
0 -41.596080
10 -37.257214
20 -33.129997
30 -29.171345
40 -25.352393
50 -21.654388
60 -18.060506
70 -14.556819
80 -11.135816
90 -7.789839
100 -4.512409
