P_GPa E_eV_per_fu
0 -43.353520
10 -43.218683
20 -42.893053
30 -42.445179
40 -41.912381
50 -41.316074
60 -40.679540
70 -40.003515
80 -39.301346
90 -38.577326
100 -37.835074
