P_GPa dH_meV_per_atom
0 261.0149
10 179.1441
20 102.4067
30 29.6611
40 -39.8830
50 -106.6953
60 -171.1251
70 -233.4367
80 -293.8041
90 -352.3961
100 -409.3431
