P_GPa H_eV_per_fu
0 -43.329433
10 -38.383936
20 -33.684346
30 -29.182710
40 -24.846464
50 -20.654002
60 -16.585611
70 -12.624886
80 -8.762774
90 -4.989951
100 -1.298667
