P_GPa E_eV_per_fu
0 -41.596080
10 -41.479048
20 -41.200668
30 -40.820141
40 -40.371769
50 -39.875953
60 -39.337298
70 -38.771112
80 -38.179218
90 -37.567350
100 -36.943827
