P_GPa E_eV_per_fu
0 -41.502329
10 -41.387344
20 -41.107990
30 -40.721925
40 -40.259539
50 -39.746056
60 -39.191943
70 -38.607839
80 -38.006930
90 -37.380999
100 -36.743817
