P_GPa H_eV_per_fu
0 -40.231742
10 -36.014190
20 -32.026118
30 -28.204495
40 -24.517746
50 -20.947030
60 -17.475746
70 -14.090521
80 -10.784226
90 -7.549426
100 -4.380052
